Hazard_type;Accuracy;Average first fixation time;Std first dixation time;Average laps time between first fixation and hazard;Std time between first fixation and hazard;Percentage of fixation during hazard;Std of fixation during hazard;Average number of fixations;Std of number of fixations;Average number of detections;Std of number of detections;Percentage of stops
0_Average;85;1.187;1.083;5.264;5.994;53.92;21.998;2.747;1.602;2.494;1.394;11
5CV;62;0.467;0.303;3.87;3.612;27.39;17.232;1.96;1.199;1.88;1.051;2
4AV;100;1.301;1.049;5.289;1.59;56.153;16.109;3.037;1.452;3.0;1.405;2
3AH;95;1.36;1.177;6.182;2.341;57.012;24.432;3.671;1.881;3.405;1.665;11
3CH;90;0.965;0.806;6.886;7.596;52.177;21.762;3.286;1.708;3.171;1.621;7
4CV;98;1.605;1.541;6.212;2.733;58.393;18.846;3.28;1.532;3.085;1.399;8
2AH;91;0.988;0.877;5.857;2.139;49.602;19.42;2.711;1.233;2.658;1.142;2
5AV;51;0.542;0.551;2.893;1.368;29.858;19.346;1.744;1.036;1.744;1.036;0
2AV;100;0.795;0.571;6.977;2.614;48.089;16.301;3.638;1.591;3.325;1.447;22
5AH;51;1.061;0.739;2.674;1.93;69.333;20.571;2.19;1.5;2.19;1.5;0
4CH;100;1.392;0.968;6.152;13.346;60.567;22.704;2.605;1.254;2.568;1.237;2
3CV;98;2.129;1.697;5.418;2.516;71.893;20.308;2.671;1.798;2.443;1.644;10
4AH;97;1.786;1.07;3.114;1.492;72.032;22.197;1.566;0.951;1.474;0.769;3
3AV;95;1.103;1.024;5.366;2.329;58.026;24.369;3.304;1.625;2.924;1.412;20
5CH;65;0.828;0.83;3.04;1.793;59.465;24.99;2.509;1.368;2.491;1.368;1
6AH;65;0.559;0.455;2.126;2.547;44.225;21.252;1.679;1.225;1.509;0.768;5
6CH;55;0.678;0.764;2.428;2.385;48.187;21.767;1.884;1.125;1.814;1.105;4
6CV;80;0.697;0.494;2.703;1.286;35.316;16.981;1.594;0.914;1.594;0.914;0
6AV;82;0.859;0.634;2.761;1.441;51.806;21.174;2.281;1.473;2.234;1.455;3
1AV;98;1.375;0.829;8.42;13.617;52.418;14.14;3.595;1.732;2.43;0.837;45
1CV;98;1.613;1.175;6.6;2.543;55.807;13.299;3.038;1.409;2.372;1.21;34
2CV;98;1.352;1.298;7.202;13.574;57.772;19.49;2.901;1.528;2.506;1.218;18
2CH;87;1.035;0.742;4.842;1.425;47.969;21.651;3.027;1.424;3.014;1.419;1
1CH;96;1.477;1.205;5.952;2.523;54.894;15.957;2.691;1.576;2.21;1.119;19
1AH;100;1.14;0.981;6.474;2.819;53.753;12.461;2.927;1.644;2.293;1.11;26
