Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording009;3;2;4CH;YES;00:38,7;0.86;0.44;0.82;1.06;0;0;0;00:44,9;4;4;offset on the left;6.2;51.29
2;Recording005;3;2;4CH;YES;00:39,0;2.24;2.38;0.56;0;0;0;0;00:46,2;3;3;No events ;7.2;71.944
4;Recording014;3;2;4CH;YES;00:24,9;1.48;1.9;0;0;0;0;0;00:29,5;2;2;;4.6;73.478
4;Recording011;3;2;4CH;YES;00:30,1;3.201;0;0;0;0;0;0;00:34,1;1;1;;4.0;80.025
5;Recording016;3;2;4CH;YES;00:21,6;2.84;1.08;0.24;0.16;0;0;0;00:26,9;4;4;;5.3;81.509
6;Recording033;3;2;4CH;YES;00:34,7;1.08;0.8;1.44;0.62;0;0;0;00:41,3;4;4;;6.6;59.697
6;Recording030;3;2;4CH;YES;00:40,3;2.2;1.72;0;0;0;0;0;00:45,1;2;2;;4.8;81.667
7;Recording036;3;2;4CH;YES;00:36,3;2.58;0.38;1.06;0;0;0;0;00:41,9;3;3;;5.6;71.786
8;Recording039;3;2;4CH;YES;00:29,0;0.24;0.56;2.74;0.2;0;0;0;00:34,0;4;4;;5.0;74.8
9;Recording044;3;2;4CH;YES;00:51,5;0.24;1.1;0;0;0;0;0;00:55,5;2;2;;4.0;33.5
11;Recording048;3;2;4CH;YES;00:35,9;4.461;0.18;0;0;0;0;0;00:41,8;2;2;;5.9;78.661
12;Recording054;3;2;4CH;YES;00:27,3;0.48;0.68;1.62;0;0;0;0;00:32,4;3;3;;5.1;54.51
12;Recording051;3;2;4CH;YES;00:29,0;0.66;0.18;0.44;1.68;0;0;0;00:33,3;4;4;;4.3;68.837
13;Recording057;3;2;4CH;YES;00:32,9;2.82;0.48;0;0;0;0;0;00:37,1;2;2;;4.2;78.571
14;Recording061;3;2;4CH;YES;00:24,9;1.46;0;0;0;0;0;0;00:27,4;1;1;;2.5;58.4
15;Recording066;3;2;4CH;YES;00:37,9;1.34;0.44;1.24;0;0;0;0;00:42,6;3;3;;4.7;64.255
16;Recording070;3;2;4CH;YES;00:25,3;2.66;1.72;0;0;0;0;0;00:31,3;2;2;;6.0;73.0
17;Recording074;3;2;4CH;YES;00:30,6;2.06;0.62;0;0;0;0;0;00:34,5;2;2;;3.9;68.718
18;Recording080;3;2;4CH;YES;00:27,9;1.52;0.58;0;0;0;0;0;00:33,2;2;2;;5.3;39.623
18;Recording077;3;2;4CH;YES;00:30,4;1.6;1.36;0.46;0;0;0;0;00:35,3;3;3;;4.9;69.796
20;Recording084;3;2;4CH;YES;00:18,3;0.74;0.74;1.18;0.28;0;0;0;00:23,4;4;4;;5.1;57.647
20;Recording081;3;2;4CH;YES;00:24,4;0.72;0.3;1.72;0;0;0;0;00:32,6;3;3;;8.2;33.415
21;Recording087;3;2;4CH;YES;00:24,7;0.52;1.2;0.86;0.6;0;0;0;00:30,0;4;4;;5.3;60.0
22;Recording090;3;2;4CH;YES;00:27,2;0.82;3.081;1.14;0;0;0;0;00:33,5;3;3;;6.3;80.016
23;Recording095;3;2;4CH;YES;00:28,4;3.461;0;0;0;0;0;0;00:32,7;1;1;;4.3;80.488
24;Recording100;3;2;4CH;YES;00:29,3;0.54;0.82;0;0;0;0;0;00:34,5;2;2;;5.2;26.154
24;Recording097;3;2;4CH;YES;00:41,7;1.6;3.061;0.06;0.2;0;0;0;00:47,2;4;4;;5.5;89.473
25;Recording102;3;2;4CH;YES;00:24,6;0.16;2;0;0;0;0;0;02:29,3;2;2;;124.7;1.732
27;Recording107;3;2;4CH;YES;00:31,6;0.26;0.74;1.12;0.48;0.24;0;0;00:36,3;5;5;;4.7;60.426
28;Recording110;3;2;4CH;YES;00:28,1;1.52;0.32;3.861;0;0;0;0;00:35,8;3;3;;7.7;74.039
29;Recording115;3;2;4CH;YES;00:28,4;1;2.04;0;0;0;0;0;00:32,3;2;2;;3.9;77.949
30;Recording120;3;2;4CH;YES;00:32,4;0.28;1;0.94;0.46;0.08;0.08;0;00:38,0;6;6;;5.6;50.714
30;Recording117;3;2;4CH;YES;00:42,8;2.66;0;0;0;0;0;0;00:47,0;1;1;;4.2;63.333
31;Recording123;3;2;4CH;YES;00:32,2;2.42;0;0;0;0;0;0;00:34,6;1;1;;2.4;100
33;Recording131;3;2;4CH;YES;00:33,7;1.2;0.28;0.78;0;0;0;0;00:35,5;3;3;;1.8;100
34;Recording135;3;2;4CH;YES;00:29,8;0.15;0.34;0.54;0.82;0;0;0;00:35,4;4;4;;5.6;33.036
36;Recording146;3;2;4CH;YES;00:34,1;0.36;0.7;0.6;0.2;0.24;0;0;00:38,1;5;5;1 and 2 are together;4.0;52.5
36;Recording143;3;2;4CH;YES;00:26,1;1.74;1.06;0;0;0;0;0;00:32,2;2;2;;6.1;45.902
38;Recording154;3;2;4CH;YES;00:34,8;4.421;1.34;0;0;0;0;0;00:42,3;2;2;;7.5;76.813
38;Recording151;3;2;4CH;YES;00:42,7;1.68;0;0;0;0;0;0;00:45,0;1;1;;2.3;73.043
39;Recording158;3;2;4CH;YES;00:22,2;0.66;0.48;0;0;0;0;0;00:28,2;2;2;;6.0;19.0
