Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording009;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
2;Recording005;3;3;5AH;YES;01:09,3;0.54;0.22;0;0;0;0;0;01:11,1;2;2;No events ;1.8;42.222
4;Recording014;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
4;Recording011;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
5;Recording016;3;3;5AH;YES;00:39,8;1.78;0;0;0;0;0;0;00:41,8;1;1;;2.0;89.0
6;Recording033;3;3;5AH;YES;00:54,7;1.94;0;0;0;0;0;0;00:57,0;1;1;;2.3;84.348
6;Recording030;3;3;5AH;YES;01:01,1;0.68;0;0;0;0;0;0;01:01,9;1;1;;0.8;85.0
7;Recording036;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
8;Recording039;3;3;5AH;YES;00:46,7;0.98;0.54;0;0;0;0;0;00:48,5;2;2;;1.8;84.444
9;Recording044;3;3;5AH;YES;01:08,5;0.24;0;0;0;0;0;0;01:09,1;1;1;;0.6;40.0
11;Recording048;3;3;5AH;YES;00:57,8;0.1;0.1;0.08;0;0;0;0;00:58,9;3;3;;1.1;25.455
12;Recording054;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
12;Recording051;3;3;5AH;YES;00:43,5;0.56;0.1;0.2;0;0;0;0;00:45,2;3;3;looking along the bus and after the bus;1.7;50.588
13;Recording057;3;3;5AH;YES;00:50,3;1.44;0;0;0;0;0;0;00:52,3;1;1;;2.0;72.0
14;Recording061;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
15;Recording066;3;3;5AH;YES;00:53,5;0.5;1.54;0.34;0.32;0.14;0;0;00:57,3;5;5;look before the bus and then after;3.8;74.737
16;Recording070;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
17;Recording074;3;3;5AH;YES;00:45,9;2.32;0;0;0;0;0;0;00:48,9;1;1;looking along the bus;3.0;77.333
18;Recording080;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
18;Recording077;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
