Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
4;Recording012;1;4;5CV;YES;01:46,7;0.24;0.3;0.12;0;0;0;0;01:50,8;3;3;short looks close to the stop;4.1;16.098
5;Recording017;1;4;5CV;YES;01:37,8;0.1;0.06;0.06;0;0;0;0;01:38,9;3;3;;1.1;20.0
6;Recording032;1;4;5CV;YES;01:59,6;0.24;0;0;0;0;0;0;02:03,2;1;1;;3.6;6.667
7;Recording037;1;4;5CV;YES;01:50,6;0.16;0.12;0;0;0;0;0;01:51,7;2;2;;1.1;25.455
7;Recording034;1;4;5CV;YES;01:52,9;0.22;0;0;0;0;0;0;01:56,3;1;1;;3.4;6.471
8;Recording041;1;4;5CV;YES;01:34,6;0.14;0.5;0.72;0;0;0;0;01:39,9;3;3;;5.3;25.66
8;Recording038;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
9;Recording043;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording049;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
12;Recording053;1;4;5CV;YES;01:34,2;0.52;0;0;0;0;0;0;01:35,6;1;1;;1.4;37.143
13;Recording058;1;4;5CV;YES;01:41,1;0.62;0.18;0;0;0;0;0;01:44,3;2;2;;3.2;25.0
13;Recording055;1;4;5CV;YES;01:41,9;0.18;0.36;0;0;0;0;0;01:43,2;2;2;;1.3;41.538
14;Recording063;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
14;Recording060;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
15;Recording067;1;4;5CV;YES;01:41,7;0.46;0.34;0;0;0;0;0;01:43,4;2;2;;1.7;47.059
16;Recording072;1;4;5CV;YES;01:36,0;0.28;0.54;0;0;0;0;0;01:37,7;2;2;;1.7;48.235
16;Recording069;1;4;5CV;YES;01:42,3;0.1;0.16;0.4;0;0;0;0;01:44,2;3;3;;1.9;34.737
17;Recording075;1;4;5CV;YES;01:28,7;0.24;0;0;0;0;0;0;01:32,3;1;1;;3.6;6.667
18;Recording079;1;4;5CV;YES;01:42,5;0.18;0.28;0;0;0;0;0;01:43,7;2;2;;1.2;38.333
