Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;6;6AV;YES;02:38,6;1.62;0;0;0;0;0;0;02:41,2;1;1;;2.6;62.308
4;Recording012;1;6;6AV;YES;02:23,4;0.6;0;0;0;0;0;0;02:26,1;1;1;;2.7;22.222
5;Recording017;1;6;6AV;YES;02:08,8;0.14;0;0;0;0;0;0;02:09,5;1;1;;0.7;20.0
6;Recording032;1;6;6AV;YES;02:40,3;1.94;0.92;0;0;0;0;0;02:44,9;2;2;;4.6;62.174
7;Recording037;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;hard to see;0.0;0
7;Recording034;1;6;6AV;YES;02:29,2;0.64;0.06;0.24;0;0;0;0;02:31,8;3;3;;2.6;36.154
8;Recording041;1;6;6AV;YES;02:08,6;0.7;0.46;0.08;0.08;0;0;0;02:12,6;4;4;;4.0;33.0
8;Recording038;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;impossible to see;0.0;0
9;Recording043;1;6;6AV;YES;02:00,2;1.4;0.12;0;0;0;0;0;02:02,4;2;2;;2.2;69.091
11;Recording049;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
12;Recording053;1;6;6AV;YES;02:01,2;0.76;1.1;0;0;0;0;0;02:03,6;2;2;;2.4;77.5
13;Recording058;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;hard to see;0.0;0
13;Recording055;1;6;6AV;YES;02:16,8;0.96;0.42;0;0;0;0;0;02:19,2;2;2;;2.4;57.5
14;Recording063;1;6;6AV;YES;01:47,0;0.48;0.12;0.1;0.08;0.06;0.24;0;01:49,0;6;6;;2.0;54.0
14;Recording060;1;6;6AV;YES;01:43,5;0.5;0.3;0.38;0;0;0;0;01:45,3;3;3;;1.8;65.556
15;Recording067;1;6;6AV;YES;02:11,7;0.36;0.18;0;0;0;0;0;02:14,4;2;2;;2.7;20.0
16;Recording072;1;6;6AV;YES;02:07,4;1.82;0.2;0;0;0;0;0;02:10,9;2;2;;3.5;57.714
16;Recording069;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
17;Recording075;1;6;6AV;YES;01:58,4;0.34;0.62;0;0;0;0;0;02:00,5;2;2;;2.1;45.714
18;Recording079;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
