Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
42;Recording172;1;1;1AH;YES;00:14,9;1.06;0.38;1.12;0.96;0.28;0.6;0;00:22,3;6;6;Pretty good quality;7.4;59.459
42;Recording172;1;2;3CH;YES;00:39,9;1.86;3.561;0.4;0.58;0;0;0;00:47,6;2;4;;7.7;83.13
42;Recording172;1;3;2AV;YES;01:03,8;0.5;0.28;0.48;1.14;0.06;0.14;0;01:08,5;6;6;;4.7;55.319
42;Recording172;1;4;5CV;YES;01:25,7;0.34;0;0;0;0;0;0;01:29,9;1;1;;4.2;8.095
42;Recording172;1;5;1CV;YES;01:32,2;0.54;0.42;0.12;0.08;2.56;0.12;0;01:39,7;5;6;3 and 4 together;7.5;51.2
42;Recording172;1;6;6AV;YES;01:52,4;0.8;0.16;1.72;0.58;1.22;0;0;01:58,1;5;5;;5.7;78.596
42;Recording172;1;7;4AH;YES;02:07,3;0.62;2.841;0.22;0;0;0;0;02:14,7;2;3;;7.4;49.743
42;Recording172;1;8;6CH;YES;02:27,1;0.22;0;0;0;0;0;0;02:27,6;1;1;;0.5;44.0
42;Recording171;2;1;1CH;YES;00:19,5;1.68;3.041;0.36;0.46;0;0;0;00:28,7;2;4;Pretty good quality;9.2;60.228
42;Recording171;2;2;2AH;YES;00:47,2;1.02;0.5;0.82;1.94;1.46;0.72;0;00:55,9;5;6;;8.7;74.253
42;Recording171;2;3;4CV;YES;01:10,6;0.34;1;0.96;0.54;1.8;0;0;01:18,9;5;5;;8.3;55.904
42;Recording171;2;4;5AV;YES;01:38,3;0.26;0;0;0;0;0;0;01:41,0;1;1;;2.7;9.63
42;Recording171;2;5;3AV;YES;01:58,5;3.921;0.32;0;0;0;0;0;02:03,6;2;2;;5.1;83.157
42;Recording171;2;6;3AH;YES;02:11,7;0.22;0;0;0;0;0;0;02:12,8;1;1;;1.1;20.0
42;Recording171;2;7;2CV;YES;02:19,7;2.32;0;0;0;0;0;0;02:22,7;1;1;;3.0;77.333
42;Recording171;2;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Not visible until late;0.0;0
42;Recording170;3;1;6CV;YES;00:29,5;1.12;0.08;0;0;0;0;0;00:31,9;2;2;;2.4;50.0
42;Recording170;3;2;4CH;YES;00:33,8;2.921;0.24;0;0;0;0;0;00:37,5;2;2;;3.7;85.432
42;Recording170;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
42;Recording170;3;4;4AV;YES;01:07,9;0.5;0.76;0;0;0;0;0;01:12,0;2;2;;4.1;30.732
42;Recording170;3;5;5CH;YES;01:18,0;0.14;1.52;0;0;0;0;0;01:20,7;2;2;Seems to be looking at the bus stop and then after the bus;2.7;61.481
42;Recording170;3;6;2CH;YES;01:37,4;1.56;0.48;1.9;0;0;0;0;01:42,6;3;3;;5.2;75.769
42;Recording170;3;7;3CV;YES;01:57,1;4.481;0.3;2.32;0;0;0;0;02:05,8;3;3;1 and 2 together;8.7;81.621
42;Recording170;3;8;1AV;YES;02:29,1;2.06;0.46;1.36;0.5;0.2;0.6;0.14;02:37,3;3;7;;8.2;64.878
42;Recording169;1;1;1AH;YES;00:19,7;3.121;0.14;0;0;0;0;0;00:24,3;2;2;;4.6;70.891
42;Recording169;1;2;3CH;YES;00:43,5;1.32;1.64;0;0;0;0;0;00:48,7;2;2;;5.2;56.923
42;Recording169;1;3;2AV;YES;01:05,9;3.161;0;0;0;0;0;0;01:10,2;1;1;;4.3;73.512
42;Recording169;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
42;Recording169;1;5;1CV;YES;01:32,1;0.56;0.52;0.16;0.38;0.5;0;0;01:37,3;5;5;;5.2;40.769
42;Recording169;1;6;6AV;YES;01:48,9;0.52;1.36;0;0;0;0;0;01:52,7;2;2;;3.8;49.474
42;Recording169;1;7;4AH;YES;02:01,8;0.84;2.2;0;0;0;0;0;02:06,3;2;2;;4.5;67.556
42;Recording169;1;8;6CH;YES;02:19,0;0.52;0;0;0;0;0;0;02:19,6;1;1;;0.6;86.667
