Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
34;Recording138;1;1;1AH;YES;00:28,2;0,48;0,34;0,3;0,26;0;0;0;00:38,8;3;4;
34;Recording138;1;2;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
34;Recording138;1;3;2AV;YES;01:28,0;0,74;0,3;0,6;0,2;0;0;0;01:36,1;4;4;
34;Recording138;1;4;5CV;YES;02:00,6;0,84;0;0;0;0;0;0;02:03,6;1;1;
34;Recording138;1;5;1CV;YES;02:21,3;0,86;2,74;0,18;0,32;0;0;0;02:32,7;2;4;
34;Recording138;1;6;6AV;YES;02:40,3;0,44;0;0;0;0;0;0;02:44,2;1;1;
34;Recording138;1;7;4AH;YES;02:55,7;0,24;0;0;0;0;0;0;02:57,0;1;1;
34;Recording138;1;8;6CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
34;Recording136;2;1;1CH;YES;00:27,7;0,42;1,12;0,26;0,3;0;0;0;00:35,4;4;4;3 and 4 are together
34;Recording136;2;2;2AH;YES;01:00,7;1,28;1,5;1,64;0,26;0;0;0;01:08,6;4;4;
34;Recording136;2;3;4CV;YES;01:28,0;0,78;0,26;1,02;0,48;0,14;0;0;01:37,0;5;5;
34;Recording136;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
34;Recording136;2;5;3AV;YES;02:07,7;2,14;0,64;0,62;0,78;0,88;0,76;0,52;02:18,3;5;7;1 and 2 are together, 4 and 5 are together
34;Recording136;2;6;3AH;YES;02:31,0;1,04;0,3;0,66;0,2;0,3;1,34;0;02:41,4;4;6;3 and 4 are together
34;Recording136;2;7;2CV;YES;02:50,9;0,32;0,24;1,6;0,52;0,14;0;0;03:01,5;3;5;
34;Recording136;2;8;6AH;YES;03:19,5;0,8;0;0;0;0;0;0;03:22,2;1;1;
34;Recording135;3;1;6CV;YES;00:23,8;0,5;0;0;0;0;0;0;00:26,8;1;1;
34;Recording135;3;2;4CH;YES;00:29,8;0,15;0,34;0,54;0,82;0;0;0;00:35,4;4;4;
34;Recording135;3;3;5AH;YES;00:53,3;0,26;0,92;0,34;0;0;0;0;00:55,4;3;3;
34;Recording135;3;4;4AV;YES;01:19,0;0,36;0,28;0;0;0;0;0;01:21,6;2;2;
34;Recording135;3;5;5CH;YES;01:33,7;0,4;0,12;0;0;0;0;0;01:34,5;2;2;1 and 2 are together
34;Recording135;3;6;2CH;YES;01:52,4;1,52;0,78;0,98;0,88;0,34;0;0;02:01,8;5;5;2, 3 and 4 are together
34;Recording135;3;7;3CV;YES;02:17,9;3,001;0,26;0,64;0,22;0;0;0;02:25,2;3;4;
34;Recording135;3;8;1AV;YES;02:53,2;0,44;0,8;0,28;0,38;0,1;0;0;03:01,1;4;5;
34;Recording134;1;1;1AH;YES;00:59,1;0,16;0,8;2,5;0,22;0,5;0,46;0,38;01:11,5;3;7;
34;Recording134;1;2;2CH;YES;01:44,4;2,74;0;0;0;0;0;0;01:48,5;1;1;Video buffered a bit (maybe fixations missed).
34;Recording134;1;3;2AV;YES;02:06,3;0,4;0,18;0,36;1,52;0,14;0;0;02:16,3;5;5;
34;Recording134;1;4;5CV;YES;02:39,2;0,36;0,28;0,3;0,3;0;0;0;02:47,1;4;4;
34;Recording134;1;5;1CV;YES;03:05,4;0,32;0,74;1,5;0,68;0,3;0;0;03:16,2;4;5;3 and 4 are together
34;Recording134;1;6;6AV;YES;03:23,5;0,18;0,56;0,22;0;0;0;0;03:27,6;3;3;1, 2 and 3 are together
34;Recording134;1;7;4AH;YES;03:34,5;0,46;0,2;2,48;0,88;0;0;0;03:40,8;4;4;
34;Recording134;1;8;6CH;YES;03:51,1;0,26;1,04;0,28;0;0;0;0;03:55,5;3;3;1, 2 and 3 are together
